Designator,Footprint,Quantity,Value
C1,C_0805,1,1uF 50V X7R ±10%
"C2, C5",C_1206,2,10uF 50V X5R ±10%
"C3, C9",C_0805,2,100nF 50V X7R ±10%
C4,C_0805,1,25V 4.7uF X5R ±10%
C6,C_1210,1,100V 10uF X7S ±10%
C7,C_0805,1,10V 22uF X5R ±10%
D1,CD-MBL2xxS_BRN,1,CD-MBL206SL
D2,DIODE_MSP3V3-L,1,MSS1P3L-M3/89A
D3,D_SMA,1,SMAJ51CA
J2,1X8_P2.54MM_RA,1,HARWIN_M20-8890845
J3,JST_S2B-PH-SM4-TB,1,S2B-PH-SM4-TB
J4,2X4_P2.54MM_VERT,1,AUX CONNECTOR
L1,"SMD,4x4mm",1,10U IND_ASPIAIG-S4035-100M-T_ABR
L2,"SMD,4x4mm",1,15U IND_ASPIAIG-S4035-150M-T_ABR
"R10, R12",R_0805,2,0R 125mW ±1%
"R13, R5, R6",R_0805,3,100K 125mW ±1%
R14,R_0805,1,19K6 125mW ±1%
R16,R_0805,1,20K 125mW ±1%
R17,R_0805,1,30K 125mW ±1%
"R3, R4",R_0805,2,330R 125mW ±1%
R7,R_0805,1,68K 125mW ±1%
U1,XIAO-ESP32C6-SMD,1,XIAO-ESP32-C6
U2,HTSOP-8,1,DRV8871DDAR
U3,SOT-23-6,1,TLV61046ADB
U4,SOT-23-6,1,LMR51606YDBVR
